title,author,date,article,link
"
PH to surpass Tokyo Olympics output – Tolentino
","
By Nicole Anne D.G. Bugauisan
","
July 17, 2024
","TWENTY-TWO Filipino athletes will fight for pride and glory in the Paris 2024 Olympics, and this time, the odds are better.,Philippine Olympic Committee President Abraham Tolentino was confident in his forecast that the Filipino delegates would put up a good fight in the City of Lights.,""Definitely, we will deliver. Definitely, we will surpass Tokyo [Olympics],"" Tolentino told the press on Tuesday during the Sportswriters Association Forum at the Rizal Memorial Sports Complex.,""What I know is that we will surpass Tokyo. It depends, one gold, two golds, or three golds; what I know is that we will surpass our previous Tokyo performance. We're all excited. The mood of the athletes are different this time; they all leveled up. So, I'd like to thank the Philippine Sports Commission and our private partners and the Office of the President,"" he added.,Four years after the glorious and momentous feat of Hidilyn Diaz's first gold for the country and the two silvers and bronze of boxers Nesthy Petecio, Carlo Paalam and Eumir Marcial — the Philippines is ready to top its previous performances.,""Actually, we surpassed the number of athletes from the Tokyo Olympics. From 19 to 22. My target was 25 if cycling and skateboarding made it,"" Tolentino said.,The Philippines bagged four medals in the Tokyo Games despite the conditions and lack of funding from the respective sports divisions.,What is different this time is Team Philippines is well supported with their training and equipment, coming to the Paris Games.,The Filipino athletes showed relentless perseverance during their training in Metz, France, to be attuned to the weather and to condition themselves.",https://www.manilatimes.net/2024/07/17/news/national/ph-to-surpass-tokyo-olympics-output-tolentino/1957853
"
LTFRB told: Set reentry rules for banned PUVs
","
By Bernadette E. Tamayo
","
July 17, 2024
","SEN. Grace Poe on Tuesday urged the Land Transportation and Franchising Regulatory Board (LTFRB) to set guidelines for the reentry of some unconsolidated public utility vehicles (PUVs) into roads, which she said was a welcome development.,LTFRB's directive to allow unconsolidated jeepneys and UV Express units to operate in some routes was a ""welcome development,"" she said.,Last Monday, the LTFRB said it issued Board Resolution 53 series of 2024, allowing unconsolidated jeepneys and UV Express units to operate in over 2,500 routes.,""We urge the LTFRB to put in place simple guidelines to ease the reentry of our drivers on the roads,"" Poe said in a statement.,
,Poe said she would continue to push for a stable, just and humane policy of PUV modernization that will give productive income to the sector, help clean the environment and alleviate the traffic situation.,Board Resolution 53 provides that unconsolidated PUVs do not need to file for consolidation but are still subject to the approval of the local public transport route rationalization plan.,Routes covered by the resolution include the Central Office (105 routes), Metro Manila (139), Cordillera (669), Ilocos (161), Central Luzon (84), Calabarzon (216), Bicol (382), Western Visayas (259), Central Visayas (64), Eastern Visayas (124), Zamboanga (79), Northern Mindanao (25), Davao (34), and Caraga (78).",https://www.manilatimes.net/2024/07/17/news/national/ltfrb-told-set-reentry-rules-for-banned-puvs/1957829
"
DoH reports 30% spike in dengue cases
","
By Via Bianca Ramones
","
July 17, 2024
","THE Department of Health (DoH) on Tuesday said dengue cases rose by 30 percent in June.,It said cases surged from 6,323 between May 19 and June 1 to 8,246 from June 2 to June 15.,Overall, 90,119 dengue cases and 233 deaths have been recorded in 2024, marking a 19 percent increase from the 75,968 cases reported during the same period in 2023.,Seven regions — Ilocos Region, Cagayan Valley, Central Luzon, Calabarzon, Mimaropa, Western Visayas and the National Capital Region — have experienced an uptick in cases over the past six weeks.,The department said it was ramping up efforts to monitor and combat dengue as part of its focus on water-borne diseases, influenza-like illnesses and leptospirosis, which are common during the rainy season.,""Protect loved ones through clothing and mosquito repellents. Do not self-medicate; ask your doctor or nearby clinic if you have dengue,"" Health Secretary Teodoro Herbosa said.,The DoH noted that while case numbers in early 2024 were higher than those in 2023, recent weeks have seen numbers return to similar levels, likely due to intensified local mosquito control efforts.,Herbosa emphasized the importance of proactive measures to combat dengue. The ""4S: strategy remains a cornerstone of prevention efforts: eliminating mosquito breeding grounds, using insect repellent and protective clothing, seeking early consultation for symptoms, and supporting fogging in outbreak areas.,The DoH continues to encourage local governments and communities to stay vigilant and sustain preventive measures to curb the spread of dengue during the rainy season.",https://www.manilatimes.net/2024/07/17/news/national/doh-reports-30-spike-in-dengue-cases/1957840
"
Accord sets up hotline for Sino, PH presidents
","
By Associated Press
","
July 17, 2024
","A RECENTLY signed agreement will open a direct line of communication between China and the Philippines' presidential offices to try and prevent any new confrontation from spiraling out of control in the disputed South China Sea, according to highlights of the accord seen by The Associated Press on Tuesday.,China and the Philippines have forged such emergency telephone hotlines at lower levels of their bureaucracies in the past to better manage their disputes, particularly in two fiercely disputed shoals where the Philippines has accused Chinese forces of increasingly hostile actions and China says Philippine ships have encroached despite repeated warnings.,The territorial faceoffs, however, have persisted uncontrollably in the past year, sparking fears of a larger armed conflict that could involve the United States, which has repeatedly warned that it's obligated to defend the Philippines, a key Asian treaty ally, if Filipino forces come under an armed attack in the disputed waters.,In a confrontation between Chinese and Philippine forces at the Philippines-occupied Second Thomas Shoal in August 2023, the Philippine government said it was unable to reach Chinese officials through an established ""maritime communication mechanism"" for several hours as the clash happened. That emergency telephone hotline was arranged after President Ferdinand Marcos Jr. met Chinese President Xi Jinping in Beijing in January 2023.,Chinese and Philippine officials dealing with the territorial disputes held crucial talks in Manila on July 2, following a violent confrontation in the Second Thomas Shoal in which Chinese coast guard personnel reportedly wielded knives, an axe and improvised spears in a chaotic faceoff that injured Philippine navy personnel and damaged two of their motorboats. The Chinese forces also seized seven Philippine navy rifles, said the Philippine military chief, who demanded China return the firearms and pay for the damages.,Both sides ""recognized the need to strengthen the bilateral maritime communication mechanism on the South China Sea"" and signed an arrangement ""on improving Philippines-China maritime communication mechanisms,"" the Department of Foreign Affairs said in a statement after the talks in Manila but did not provide a copy or details of the agreement.,A copy of the highlights of the agreement, seen by the AP, said it ""provides several channels for communication between the Philippines and China, specifically on maritime issues, through the representatives to be designated by their leaders."",The hotline talks could also be done ""through the Department of Foreign Affairs and Ministry of Foreign Affairs counterparts, including at the foreign minister and vice foreign minister levels or through their designated representatives,"" it said, and added without elaborating that Philippine officials were ""in discussions with the Chinese side on the guidelines that will govern the implementation of this arrangement."",There was also a plan to set up a new communication channel between the Chinese and Philippine coast guards ""once the corresponding memorandum of understanding"" between them is concluded, according to the agreement.,During the recent talks in Manila, China and the Philippines agreed on two other confidence-boosting steps to intensify ""cooperation between their respective coast guard authorities"" and the possible convening of a maritime forum between Chinese and Philippine scientists and academic leaders.",https://www.manilatimes.net/2024/07/17/news/national/accord-sets-up-hotline-for-sino-ph-presidents/1957724
"
NCR retains Palarong Pambansa overall crown
","
By Niel Victor C. Masoy
","
July 17, 2024
","The National Capital Region (NCR) dominated the 64th Palarong Pambansa to claim its 17th straight overall championship here.,NCR stamped its class anew by harvesting 98 gold medals, including the secondary boys basketball crown, which it lost last year to this year's host, Central Visayas.,The Big City also raked 66 silver medals and 74 bronzes for a total of 238 medals.,Calabarzon, which dropped to third place last year, redeemed second place this time as it beat Western Visayas by one gold medal for the runner-up position, 57-56.,Calabarzon added 51 silvers and 53 bronzes to its medal haul, while Western Visayas, which placed second last year, collected 41 silvers and bronzes each.,Davao Region ranked fourth with a 32-25-35 gold-silver-bronze haul, while host Central Visayas rounded out the top five with 25-37-45.,Meanwhile, Calabarzon's Albert Jose Amaro emerged as the most bemedaled athlete.,Amaro, an incoming Grade 12 student at San Beda Taytay, swept his way to seven gold medals in the secondary boys class, capped by a 4x100 m freestyle relay championship on Sunday at the Cebu City Sports Center.,Amaro, alongside Eric Umali, Kevin Arguzon and Nimrod Montera, clocked a time of 3:38.83 as he has totaled eight gold medals in his Palaro career.,Representing Naga Parochial School of the Bicol Region in last year's meet in Marikina, Almaro could only win one event which was the 50-m butterfly event.,Amaro's six other wins were from the 200-m freestyle, 50-m freestyle, 100-m butterfly, 4x100-m medley relay, 100-m freestyle and 50-m butterfly events.,""I dedicate my seven golds to God because He helped me get through mentally because I'm away from my family,"" said Amaro.,""If it weren't for my hard work I wouldn't have made this possible. I also dedicate this to my coaches because they're the ones who guide me in and outside of the pool while I'm away from my family.,Amaro topped the previous 50m butterfly Palaro record (26.24 seconds) he established last year in Marikina with 25.25 this time around while also recording a new high in 100-m butterfly with 56.50, eclipsing Jamesray Ajido's 56.78 last year.",https://www.manilatimes.net/2024/07/17/news/national/ncr-retains-palarong-pambansa-overall-crown/1957877
"
Brosas to seek Senate seat in '25
","
By Red Mendoza
","
July 17, 2024
","GABRIELA Women's Partylist Rep. Arlene Brosas announced she would run for senator in the 2025 midterm elections to push for more comprehensive legislation aimed at protecting women and children.,""It's time for us to fight for our own voices and for real change in the Senate.... Our current leaders only have their own interests to protect, and they also fight each other,"" Brosas said during her nomination event in Quezon City.,Brosas believes that her candidacy as part of the Makabayan bloc's Senate slate will be driven by her supporters, who are mainly women from civil organizations, marginalized sectors, youth and even the LGBTQ+ (lesbian, gay, bisexual, transgender, queer) community.,Brosas was nominated by a committee of 100 women that represented various sectors and professions, as well as a coalition of women leaders and various women's groups across the country.,She said the ""unprecedented"" crisis that has burdened women, including severe oppression, discrimination and state-sponsored violence, gave her the determination to serve the oppressed and those in need.,""The first thing that gave us the go signal to run for the Senate are women's issues. It is not enough that most of the issues on women are just being discussed at the [House of Representatives],"" Brosas said.,
,Brosas is the author of several measures involving women and children, including the Expanded Maternity Leave Law, Safe Spaces Law, Increasing the Age for Statutory Rape and Expanded Solo Parent Welfare Act.,Before her congressional stint, Brosas led the formation of the Anti-Child Pornography Alliance, which led to the signing of the Anti-Child Pornography Law. She was also one of the conveners and spokesmen for the Save Nena campaign to end child sexual abuse and prostitution.,Former Gabriela representative Emmy de Jesus said there should be more ""alternative voices"" in the Senate, which only Brosas and the entire Makabayan Senate slate can provide to the public.,""The run of the Makabayan bloc in the Senate is a good launch point for our agenda.... Our bottom line is that, to whom should we serve?"" de Jesus told The Manila Times in an interview.,Brosas is the second member of the Makabayan bloc to announce her intention to run for the Senate after ACT Teachers Rep. France Castro.,The Makabayan bloc said in a previous press conference that they aim to field a full Senate slate of 12 candidates from different sectors.",https://www.manilatimes.net/2024/07/17/news/national/brosas-to-seek-senate-seat-in-25/1957675
"
LPA to dump rains over Visayas, Mindanao, Southern Luzon — Pagasa
","
By Arlie O. Calalo
","
July 17, 2024
","MANILA, Philippines — While there is still a possibility of intensifying into a tropical depression, the low pressure area (LPA) off Surigao del Norte is expected to dump rains in areas in Visayas, Mindanao and Southern Luzon, the state-run weather agency said on Wednesday.,Weather forecaster Robert Badrina of the Philippine Atmospheric Geophysical and Astronomical Services Administration (Pagasa) said the LPA was last spotted some 200 kilometers east-northeast of Surigao City, Surigao del Norte.,""We have not yet ruled out the chance of this weather disturbance to develop into a tropical depression in the coming days,"" Badrina said.,But as an LPA, it would likely dump rains until the weekend over Bicol Region, Eastern Visayas, Northern Mindanao, Caraga, Davao Region, Isabela, Aurora, Quezon, Marinduque and Romblon, Pagasa said in its 5 a.m. bulletin.,Meanwhile, the southwest monsoon locally known as ""habagat"" is affecting the rest of Mimaropa (Mindoro, Marinduque, Romblon and Palawan) where overcast skies with scattered rain showers and thunderstorms would prevail.,The same weather system is bringing isolated downpours or thunderstorms over Metro Manila and the rest of Calabarzon (Cavite, Laguna, Batangas, Rizal and Quezon), the state weather bureau said.,The rest of Luzon, on one hand, will be experiencing partly cloudy to cloudy skies also with isolated rain showers or thunderstorms due to the localized thunderstorms within 24 hours, Pagasa said. ",https://www.manilatimes.net/2024/07/17/news/lpa-to-dump-rains-over-visayas-mindanao-southern-luzon-pagasa/1957925
"
5 senior DepEd officials resign
","
By Red Mendoza
","
July 17, 2024
","FIVE senior officials of the Department of Education (DepEd) have tendered their courtesy resignations to President Ferdinand Marcos Jr. to give the new leadership a ""clean slate"" in choosing his own team.,The five officials who sent their resignations to Marcos were chief of staff and longtime department spokesman Undersecretary Michael Wesley Poa, Undersecretary for Administration Nolasco Mempin, Assistant Secretary for the Office of the Secretary Sunshine Fajarda, Assistant Secretary for Procurement Reynold Munsayac, and Assistant Secretary for Administration Noel Baluyan.,The resignations were revealed by incoming Education Secretary Juan Edgardo Angara during a chance interview with reporters on Tuesday at the Metropolitan Manila Development Authority office in Pasig City.,Poa said their resignations are effective on July 19, 2024, the day Vice President Sara Duterte is set to leave her post as education secretary.,""I think it is only appropriate to give the incoming secretary of education, Secretary Angara, a free hand to choose the people that will form part of his team,"" Poa told reporters in a message.,Poa said that he would wait for instructions from the vice president if there would be any plans for him.,Angara said he respects the decisions of the officials who resigned.,""We eagerly anticipate taking on our new role this Friday. Any appropriate appointments will be announced soon as we intend to hit the ground running and drive immediate progress,"" Angara added.,In a statement, the Alliance of Concerned Teachers said that the recent resignations would give Angara the opportunity to form his own team that would be committed to addressing the pressing issues and concerns of the education sector.,""We strongly advise the incoming DepEd Secretary Sen[ator] Angara against repeating the previous administration's errors by appointing individuals, such as retired military generals, who lack the necessary background and commitment to education,"" the group said.,The DepEd has set the turnover between Duterte and Angara on Thursday, July 18, at the DepEd Central Office in Pasig City.",https://www.manilatimes.net/2024/07/17/news/5-senior-deped-officials-resign/1957878
"
Humane approach to incarceration eases prison overcrowding
","
By UN News
","
July 17, 2024
","A MORE humane approach to dealing with people accused of breaking the law in the Philippines is helping relieve overcrowding in one of the world's most congested prison systems.,At the Manila City Jail, prisoners lie in neat rows as they demonstrate how they sleep every night.,In male dormitory number 4, most do not have a mattress or even a bed; indeed, it's not even possible due to a lack of space to lie down on your back.,Instead, prisoners wearing their regulation yellow prison T-shirts curl up on their sides, often using their immediate neighbor as a pillow as they struggle to get a proper night's sleep in humid and cramped conditions.,Carlo has been incarcerated and awaiting trial for six years. He told UN News that ""men sleep in rows of maybe 200 to the end of the dormitory, and it's difficult to move,"" adding that although ""it is not comfortable, as years go by, I have become accustomed to sleeping on my side. People on the outside may find this depressing, but comfort is a relative term."",A recent unprecedented heat wave in Manila has driven the temperatures in this shared dormitory to over 40 degrees Celsius at night, making conditions even more inhumane for prisoners, with Carlo experiencing ""constant insomnia."",Manila City Jail was originally built in 1847 and is one of the oldest prisons in the Philippines.,Today, its official capacity is just under 1,200 prisoners although there are currently some 3,200 men accommodated there, an overcrowding rate that equates to a 168 percent overcapacity.,The jail superintendent Warden Lino Montano Soriano has been tasked with reducing the prison population as far as his responsibilities allow. Since he assumed the jail leadership, he instructed his deputy ""to check all the records of the prisoners because I presumed that many of them already had their expected date of release."",Progress to ease the overcrowding is slow but is moving in the right direction. In March 2024, 288 prisoners were admitted into the jail, while 354 were released.,Red tape is far from being the main reason for overcrowding in detention facilities in the Philippines. A controversial justice policy that targeted drug dealers and people who use drugs contributed significantly to the prison population rising from around 95,000 to over 165,000 between 2015 and 2021.,The Philippines now has one of the most congested prison systems in the world, and with an overall occupation rate for pre-trial jails of a reported 322 percent (down from 365 percent in 2023), it ranks close to the Democratic Republic of the Congo, Haiti and Uganda in terms of overcrowding.,Many detainees must endure long periods of pre-trial detention before they have their day in court or are released without a trial.,The authorities in the Philippines have recognized that change is needed.,Supreme Court Justice Maria Filomena Singh is committed to improving conditions in correctional facilities, which crucially includes decongestion.,She has also regularly visited women's jails: ""These are mothers, these are daughters, these are wives, and I relate to them,"" she told UN News, adding that ""we cannot call ourselves a just and humane society if there are people living like this among us."",There are a number of ways the authorities in the Philippines are lowering incarceration rates.,The release of prisoners ages 70 or above is being prioritized, and others are able to reduce their sentences through good behavior but also an innovative program called Read Your Way Out, which links a commitment to reading activities to an earlier release.,Significantly, efforts are being made to keep people out of jail in the first place by reducing people in pre-trial detention and incarcerating people for only the most serious offenses.,""Of all those people detained in our jails, around 70 percent have not yet finished their trial. So, they are there on preventive imprisonment even if their offenses are not serious,"" Singh said.,""These people have not yet been proven guilty, and yet we treat them no differently from those who have already been convicted."",Reducing payments to secure bail while waiting for trial has been another priority. Additional changes are being made to criminal procedures to keep people out of jail where they are ""literally unproductive,"" a situation where families that are dependent on the incarcerated person ""are deprived of their support,"" according to Singh.,Prisoners can also attend court appearances online from certain jails, which is also helping to speed up the typically slow patch to justice.,Some 70 percent of all incarcerated people in the Philippines are in custody for sometimes minor drug offenses, the result of the previous administration's highly punitive war on drugs.,While the UN Office on Drugs and Crime (UNODC) has supported moves to implement bail reduction, the priority release of elderly prisoners and the Read Your Way Out program, it has also prioritized support to the government to change the overall approach to drug-related crimes.,""Drugs are not just a law enforcement issue; they are a health issue as well, which should be seen through the lens of prevention and rehabilitation,"" said Daniele Marchesi, UNODC's country chief in the Philippines. ""It's a complex problem that connects the judiciary, the police and other law enforcement agencies on issues including health, drug policy and human rights."",The new approach appears to be paying dividends with the release of some 8,000 prisoners in the last year Singh said. UN News",https://www.manilatimes.net/2024/07/17/news/national/humane-approach-to-incarceration-eases-prison-overcrowding/1957833
